"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order"
"27","Mesocricetus auratus","",105,204.5,1040,"EIA","4","ACTH","dry","adult",3.9,6.377,38.1,20,"MF","AnAge",NA,"24hr","","Captive","São Paulo, Brazil","Baseline x percent increase ","Cricetidae","Rodentia"
"28","Microcebus murinus","",64.8,420,1940,"EIA","2","Capture","wet","",18.2,NA,NA,5,"MF","AnAge",NA,"1-5d","","Wild","Madagascar","Table 2","Cheirogaleidae","Primates"
"29","Moschus berezovskii","",12000,41.726,86.105,"EIA","16","Capture, restraint, and extraction of musk","wet","adult",20,NA,NA,7,"M","AnAge",NA,"1-28d","","Captive","Shaanxi, China","Table 1, CRE group, only increase animals","Moschidae","Artiodactyla"
"30","Mungos mungo","",1332,58.4,104.2,"EIA","9","ACTH","dry","adult",17.4,NA,NA,3,"MF","AnAge",NA,"24hr","","Captive","Botswana","","Herpestidae","Carnivora"
"31","Mustela nigripes","",1021,220.2,548.6,"EIA","9","ACTH","dry","adult",9.4,NA,NA,1,"F","AnAge",NA,"","","Captive","Ontario, Canada","Table 1","Mustelidae","Carnivora"
"32","Neofelis nebulosa","",19500,194.3,783.46,"EIA","9","ACTH","dry","adult",19.8,NA,NA,3,"MF","AnAge",NA,"","","Captive","Virginia, USA","Table 1","Felidae","Carnivora"
"33","Octodon degus","",235,139,272,"RIA","14","ACTH","dry","adult",14,4.8,37.6,6,"MF","AnAge",NA,"6hr","","Captive","Santiago, Chile","Figure 4","Octodontidae","Rodentia"
"34","Otolemur garnettii","Yes",1300,25.683,209.113,"RIA","14","Relocation","wet","adult",20,2.989,NA,15,"MF","AnAge",NA,"0-24hr","","Captive","Mississippi, USA","Figure 1","Galagidae","Primates"
"35","Ovibos moschatus","",315000,64.122,110.875,"EIA","9","ACTH","wet","adult and subadult",27.4,NA,37.7,NA,"MF","AnAge",NA,"7-55hr","","Captive","Alaska, USA","supplementary data sheet 3","Bovidae","Artiodactyla"
"36","Pan troglodytes","",44984,9.9,14.9,"EIA","9","ACTH","wet","adult",68,1.5,NA,1,"M","AnAge",NA,"29hr","","Captive","Georgia, USA","Figure 1","Hominidae","Primates"
"37","Panthera leo bleyenberghi","",175000,15.4489,24.7638,"EIA","15","Death of dominant male","dry","adult",28,0.965,37.9,5,"MF","AnAge",NA,"","","Captive","Barcelona, Spain","Table 2","Felidae","Carnivora"
"38","Panthera onca","",81150,307.8,820.9,"RIA","14","Chemical restraint and electroejaculation","dry","adult",28,1.238,37,3,"M","AnAge",NA,"","","Captive","Brazil","","Felidae","Carnivora"
"39","Panthera tigris","",119700,96.74,NA,"EIA","9","","dry","adult",26.3,0.971,37.5,22,"MF","AnAge",NA,"","Misc.","Captive","Australia","Averaged mean FGC from text","Felidae","Carnivora"
"40","Papio ursinus","Yes",18000,63.3,NA,"RIA","14","","dry","adult",37.5,1.665,NA,10,"F","AnAge",NA,"","Cycling","Wild","South Africa","Table 1","Cercopithecidae","Primates"
"41","Pecari tajacu","",23000,35.9,96.3,"EIA","9","ACTH","dry","adult",31.5,1.618,37.5,6,"M","Source",NA,"24hr","","Captive","Bahia, Brazil","Figure 2","Tayassuidae","Artiodactyla"
"42","Propithecus verreauxi","",5000,21,37,"EIA","7","ACTH","wet","adult",31,1.116,36,4,"MF","AnAge",NA,"","Breeding","Wild","Madagascar","Table 2","Indriidae","Primates"
"43","Rattus rattus","",153,3210,4410,"EIA","11","ACTH","wet","adult",4.2,6.581,38,13,"M","Source",NA,"6-8hr","","Wild","Czech Republic","","Muridae","Rodentia"
"44","Rhinoceros unicornis","",1602330,9.66,35.28,"EIA","9","ACTH","dry","adult",43.5,NA,37.4,1,"M","AnAge",NA,"22hr","","Captive","","","Rhinocerotidae","Perissodactyla"
"45","Sturnira hondurensis","",17.25,3145.27,NA,"EIA","22","","wet","",NA,NA,NA,5,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"46","Sturnira parvidens","",15.3,206.15,NA,"EIA","22","","wet","",NA,NA,NA,4,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"47","Suricata suricatta","",776,139.85,500.5,"EIA","9","ACTH","dry","adult",20.6,2.034,36.3,2,"M","AnAge",NA,"","","Captive","Missouri, USA","Table 1","Herpestidae","Carnivora"
"48","Tolypeutes matacus","",2127.3,642.1,1379.3,"EIA","9","ACTH","dry","adult",36.8,1.01,33,2,"MF","Source",NA,"30-94hr","","Captive","Illinois, USA","","Chlamyphoridae","Cingulata"
"49","Urocitellus columbianus","",630,263.03,672.05,"EIA","11","Capture","dry","adult",NA,NA,NA,10,"MF","Source",NA,"","","Wild","Alberta, Canada","Baseline x percent increase ","Sciuridae","Rodentia"
"50","Ursus thibetanus","",103750,107.9,432.6,"EIA","9","ACTH","dry","adult",39.2,NA,37.5,1,"F","AnAge",NA,"","","Captive","Quebec, Canada","Table 1","Ursidae","Carnivora"
"51","Vulpes lagopus","",7600,695,2414,"EIA","11","ACTH","dry","adult and juveniles",16.3,2.129,38.6,15,"MF","Source",NA,"9.3hr","","Captive","Trondheim, Norway","","Canidae","Carnivora"
"52","Vulpes vulpes","",7263,475,2143,"EIA","11","ACTH","dry","adult and juveniles",21.3,2.998,38.7,30,"MF","Source",NA,"9.8hr","","Captive","Norway","","Canidae","Carnivora"
