"","Species","Group","BodyMassPaper","BodyMassAnAge","BasalFGC","ElevFGC","BasalCortisol","BasalCorticosterone","ElevCortisol","ElevCorticosterone","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","RMR","Family","Order"
"36","Peromyscus maniculatus","",">17",21,1436.55,2368.47,NA,NA,NA,NA,"EIA",10,"ACTH","dry","adult (non-reproductive)",8.3,0.010683,NA,NA,"Cricetidae","Rodentia"
"37","Rangifer tarandus granti","","",101250,41.3,137.8,NA,NA,NA,NA,"RIA",14,"ACTH","dry","",21.8,0.001408,NA,NA,"Cervidae","Artiodactyla"
"38","Rangifer tarandus tarandus","","",101250,60.66,82.6,NA,NA,NA,NA,"RIA",14,"ACTH","dry","",21.8,0.001408,NA,NA,"Cervidae","Artiodactyla"
"39","Rattus norvegicus","","",300,175,NA,NA,NA,NA,NA,"EIA",20,"predator odor","dry","10 weeks old",3.8,0.006786,NA,NA,"Muridae","Rodentia"
"40","Sturnira hondurensis","","",17.25,1064.48,NA,NA,NA,NA,NA,"EIA",23,"none","wet","",NA,NA,NA,NA,"Phyllostomidae","Chiroptera"
"41","Sturnira parvidens","","",15.3,176.79,NA,NA,NA,NA,NA,"EIA",23,"none","wet","",NA,NA,NA,NA,"Phyllostomidae","Chiroptera"
"42","Suricata suricatta","","",776,175,2672.8,NA,NA,NA,NA,"RIA",14,"ACTH","dry","adult",20.6,0.002034,NA,NA,"Herpestidae","Carnivora"
"43","Syncerus caffer","","353500",7e+05,40.19,250.294,NA,NA,NA,NA,"RIA",14,"ACTH","dry","adults and subadults",32.8,NA,NA,NA,"Bovidae","Artiodactyla"
"44","Tragelaphus buxtoni","","",215000,60.085,NA,NA,NA,NA,NA,"RIA",14,"none","dry","",NA,NA,NA,NA,"Bovidae","Artiodactyla"
"45","Tragelaphus strepsiceros","","",217500,46.339,NA,NA,NA,NA,NA,"RIA",14,"none","dry","",23.5,NA,NA,NA,"Bovidae","Artiodactyla"
"46","Ursus arctos horribilis","","",277500,NA,NA,NA,NA,NA,NA,"RIA",14,"ACTH","dry","",40,NA,NA,NA,"Ursidae","Carnivora"
"47","Ursus maritimus","","",475000,64.635,NA,NA,NA,NA,NA,"EIA",10,"relocation","dry","juveniles and adults",43.8,NA,NA,NA,"Ursidae","Carnivora"
"48","Ursus thibetanus","","",103750,45.1,212.8,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",39.2,NA,NA,NA,"Ursidae","Carnivora"
