"","Slope (95% CI)","p value (slope)","Intercept  (95% CI)","Predicted R2"
"Basal FGC ~ MSMR","1.31 (1.1, 1.52)","< 0.001","4.19 (3.87, 4.52)",0.6
"Basal FGC ~ Body Mass","-0.36 (-0.46, -0.25)","< 0.001","8.11 (6.66, 9.56)",0.607
"Elevated FGC ~ Basal FGC","0.9 (0.74, 1.05)","< 0.001","1.79 (1.07, 2.52)",0.756
"Lifespan ~ Basal FGC","-0.16 (-0.25, -0.07)","0.001","4.01 (3.05, 4.97)",0.78
