"","X","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order","Hormone"
"28",28,"Myrmecophaga tridactyla","",28500,33.5,NA,"EIA",NA,"","wet","adult",31,0.475,NA,1,"F","AnAge",NA,"","Estrous","Captive","Tennessee, USA","","Myrmecophagidae","Pilosa","Corticosterone"
"29",29,"Neofelis nebulosa","",19500,406.63,4143.9,"RIA","14","ACTH","dry","adult",19.8,NA,NA,3,"MF","AnAge",NA,"","","Captive","Virginia, USA","Table 1","Felidae","Carnivora","Corticosterone"
"30",30,"Odocoileus virginianus","",87000,67.5,190.25,"RIA","14","ACTH","dry","adult",23,1.996,39,3,"F","AnAge",NA,"16.75hr","","Captive","Missouri, USA","","Cervidae","Artiodactyla","Corticosterone"
"31",31,"Ovibos moschatus","",315000,14.91,53.32,"EIA","10","ACTH","wet","adult and subadult",27.4,NA,37.7,5,"MF","AnAge",NA,"7-55hr","","Captive","Alaska, USA","supplementary data sheet 3","Bovidae","Artiodactyla","Corticosterone"
"32",32,"Peromyscus maniculatus","",21,1436.55,2540.2,"EIA","10","ACTH","dry","adult",8.3,10.683,36.6,4,"MF","AnAge",NA,"2hr","","Captive","Ontario, Canada","","Cricetidae","Rodentia","Corticosterone"
"33",33,"Rangifer tarandus granti","",132500,41.3,137.8,"RIA","14","ACTH","dry","adult",21.8,1.408,NA,5,"MF","Source",NA,"8hr","","Captive","Alaska, USA","","Cervidae","Artiodactyla","Corticosterone"
"34",34,"Rangifer tarandus tarandus","",85500,60.66,82.6,"RIA","14","ACTH","dry","juvenile",21.8,1.408,37.2,5,"F","Source",NA,"24hr","","Captive","Alaska, USA","","Cervidae","Artiodactyla","Corticosterone"
"35",35,"Rattus norvegicus","",300,175,NA,"EIA","20","","dry","adult",3.8,6.786,37.1,18,"MF","AnAge",NA,"","","Captive","Italy","Figure 3","Muridae","Rodentia","Corticosterone"
"36",36,"Sturnira hondurensis","",17.25,1064.48,NA,"EIA","23","","wet","",NA,NA,NA,5,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Corticosterone"
"37",37,"Sturnira parvidens","",15.3,176.79,NA,"EIA","23","","wet","",NA,NA,NA,4,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Corticosterone"
