"","Slope (95% CI)","p value (slope)","Intercept  (95% CI)","Predicted R2"
"Basal FGC ~ MSMR","1.68 (1.18, 2.18)","< 0.001","2.95 (2.65, 3.25)",0.597
"Basal FGC ~ Body Mass","-0.38 (-0.48, -0.28)","< 0.001","7.3 (6.33, 8.28)",0.518
"Elevated FGC ~ Basal FGC","0.93 (0.77, 1.09)","< 0.001","1.5 (0.88, 2.13)",0.803
"Lifespan ~ Basal FGC","-0.12 (-0.19, -0.05)","0.002","3.75 (2.08, 5.42)",0.723
