"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order"
"23","Melursus ursinus","",1e+05,64.1,666.5,"RIA",14,"Infection, male introduction, breeding","dry","adult",33.3,0.703,NA,1,"F","AnAge",NA,"","","Captive","Arkansas, USA","Table 2","Ursidae","Carnivora"
"24","Microcebus murinus","Yes",64.8,90,870,"EIA",8,"Capture","wet","",18.2,NA,NA,5,"MF","AnAge",NA,"45.5hr","","Wild","Madagascar","Table 2","Cheirogaleidae","Primates"
"25","Mungos mungo","",1332,1030,2120,"EIA",10,"ACTH","dry","",17.4,NA,NA,3,"MF","AnAge",NA,"","","Captive","Botswana","","Herpestidae","Carnivora"
"26","Mus musculus","",20.5,4472.05,NA,"RIA",14,"","dry","adult",4,15.056,36.9,60,"M","AnAge",NA,"","","Captive","UK","","Muridae","Rodentia"
"27","Mustela nigripes","",1021,114.5,264.3,"RIA",14,"ACTH","dry","adult",9.4,NA,NA,1,"F","AnAge",NA,"","","Captive","Ontario, Canada","Table 1","Mustelidae","Carnivora"
"28","Myrmecophaga tridactyla","",28500,33.5,NA,"EIA",NA,"","wet","adult",31,0.475,NA,1,"F","AnAge",NA,"","Estrous","Captive","Tennessee, USA","","Myrmecophagidae","Pilosa"
"29","Neofelis nebulosa","",19500,406.63,4143.9,"RIA",14,"ACTH","dry","adult",19.8,NA,NA,3,"MF","AnAge",NA,"","","Captive","Virginia, USA","Table 1","Felidae","Carnivora"
"30","Odocoileus virginianus","",87000,67.5,190.25,"RIA",14,"ACTH","dry","adult",23,1.996,39,3,"F","AnAge",NA,"16.75hr","","Captive","Missouri, USA","","Cervidae","Artiodactyla"
"31","Ovibos moschatus","",315000,14.91,53.32,"EIA",10,"ACTH","wet","adult and subadult",27.4,NA,37.7,5,"MF","AnAge",NA,"7-55hr","","Captive","Alaska, USA","supplementary data sheet 3","Bovidae","Artiodactyla"
"32","Peromyscus maniculatus","",21,1436.55,2540.2,"EIA",10,"ACTH","dry","adult",8.3,10.683,36.6,4,"MF","AnAge",NA,"2hr","","Captive","Ontario, Canada","","Cricetidae","Rodentia"
"33","Rangifer tarandus granti","",132500,41.3,137.8,"RIA",14,"ACTH","dry","adult",21.8,1.408,NA,5,"MF","Source",NA,"8hr","","Captive","Alaska, USA","","Cervidae","Artiodactyla"
"34","Rangifer tarandus tarandus","",85500,60.66,82.6,"RIA",14,"ACTH","dry","juvenile",21.8,1.408,37.2,5,"F","Source",NA,"24hr","","Captive","Alaska, USA","","Cervidae","Artiodactyla"
"35","Rattus norvegicus","",300,175,NA,"EIA",20,"","dry","adult",3.8,6.786,37.1,18,"MF","AnAge",NA,"","","Captive","Italy","Figure 3","Muridae","Rodentia"
"36","Sturnira hondurensis","",17.25,1064.48,NA,"EIA",23,"","wet","",NA,NA,NA,5,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"37","Sturnira parvidens","",15.3,176.79,NA,"EIA",23,"","wet","",NA,NA,NA,4,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"38","Suricata suricatta","",776,174.25,1613.6,"RIA",14,"ACTH","dry","adult",20.6,2.034,36.3,2,"M","AnAge",NA,"","","Captive","Missouri, USA","Table 1","Herpestidae","Carnivora"
"39","Syncerus caffer","",368500,40.19,250.29,"RIA",14,"ACTH","dry","adults and subadults",32.8,NA,NA,4,"MF","Source",NA,"10.1-20hr","","Captive","South Africa","Fig 3","Bovidae","Artiodactyla"
"40","Tragelaphus buxtoni","",215001,60.09,NA,"RIA",14,"","dry","",NA,NA,NA,NA,"MF ","Other",NA,"","","Wild","KwaZulu-Natal, South Africa","","Bovidae","Artiodactyla"
"41","Tragelaphus strepsiceros","",213501,46.34,NA,"RIA",14,"","dry","",23.5,NA,38.9,NA,"MF ","Other",NA,"","","Wild","KwaZulu-Natal, South Africa","","Bovidae","Artiodactyla"
"42","Ursus arctos horribilis","",277500,19.043,112.455,"RIA",14,"ACTH","dry","adult",40,NA,37.3,2,"MF","AnAge",NA,"27hr","","Captive","Washington, USA","Figure 1","Ursidae","Carnivora"
"43","Ursus maritimus","",475000,53,NA,"EIA",10,"","dry","adult",43.8,0.67,36.8,10,"MF","AnAge",NA,"","","Captive","North America","Table 1","Ursidae","Carnivora"
"44","Ursus thibetanus","",103750,34.5,197.9,"RIA",14,"ACTH","dry","adult",39.2,NA,37.5,1,"F","AnAge",NA,"","","Captive","Quebec, Canada","Table 2","Ursidae","Carnivora"
