"","Slope (95% CI)","p value (slope)","Intercept  (95% CI)","Predicted R2"
"Basal FGC ~ Body Mass","-0.32 (-0.37, -0.26)","< 0.001","6.61 (6.08, 7.15)",0.506
"Basal FGC ~ MSMR","1.24 (0.97, 1.5)","< 0.001","11.67 (10.18, 13.16)",0.57
"Elevated FGC ~ Basal FGC","0.89 (0.88, 0.89)","< 0.001","1.71 (1.69, 1.72)",0.776
"Lifespan ~ Basal FGC","-0.09 (-0.17, 0)","0.045","3.59 (2.52, 4.67)",0.767
