Species,Mean_lifespan
Poecilotheria metallica,13.9
Ajaia ajaja,-
Callosciurus prevostii,7.6
Lamprotornis iris,-
Cosmopsarus regius,
Scissirostrum dubium,6.5
Cinnyricinclus leucogaster,7.3
Raphicerus campestris,5.7
Himantopus mexicanus,-
Potamotrygon henlei,Data deficient
Potamotrygon motoro,-
Potamotrygon tigrina,Data deficient
Potamotrygon /eopoldi,-
Ciconia abdimii,12.1
Ciconia ciconia ciconia,17.1
Leptoptilos crumenifer,12.6
Mycteria cinerea,18.4
Mycteria leucocephala,10.9
Ephippiorhynchus senega/ensis,13.1
Ciconia stormi,Data deficient
Mycteria ibis,11
Eurypyga helias,-
Coscoroba coscoroba,9.8
Cygnus buccinator,11.3
Budorcas taxicolor tibetana,-
Tamandua tetradactyla,-
Saguinus imperator subgrisescens,
Saguinus oedipus,12.1
Leontopithecus chrysomelas,11.6
Sanguinus bicolor,-
Thraupis episcopus,5.5
Ramphocelus carbo,5
Tangara mexicana,3.7
Tapirus indicus,18.1
Brachypelma smithi,-
Anas bernieri,Data deficient
Marmaronetta angustirostris,-
Echinops telfairi,10.2
Larosterna inca,10.1
Batagur borneoensis,14.7
Panthera tigris altaica,15.6
Panthera tigris jacksoni,16.6
Panthera tigris sumatrae,17
Eudromia e/egans,-
Bufo (Anaxyrus) houstonensis,-
Peltophryne lemur,5.5
Anaxyrus baxteri,3
Malacochersus tornieri,Data deficient
Geochelone gigantia,Data deficient
Manouria emys emys,Data deficient
Manouria emys phayrei,Data deficient
Geochelone platynota,9.3
Testudo kleinmanni,12.9
lndotestudo forstenii,Data deficient
Chelonoidis nigra,34.9
Kinixys homeana,Data deficient
Pyxis planicauda,Data deficient
Pyxis arachnoides,Data deficient
Astrochelys yniphora,Data deficient
Astrochelys radiata,Data deficient
Ramphastos ambiguus swainsonii,10.3
Ramphastos su/furatus,6.8
Ramphastos toco,8.4
Tragopan caboti,4.6
Tupaia belangeri,-
Jcterus icterus,6.8
Psophia crepitans,4.6
Corytheola cristata,Data deficient
Musophaga rossae,8.1
Tauraco erythrolophus,8.6
Musophaga violacea,8.9
Tauraco leucotis,-
Heosemys depressa,Data deficient
Geoemyda spengleri,Data deficient
Glyptemys muhlenbergii,Data deficient
Terrapene coahuila,-
Saca/ia quadriocel/ata,Data deficient
Cuora galbinifrons,Data deficient
Cuora mouhotii,Data deficient
Orlitia bomeensis,Data deficient
Cuora mccordi,Data deficient
Actinemys marmorata,Data deficient
Cuora pani,Data deficient
Chelodina mccordi,Data deficient
Heosemys spinosa,Data deficient
Leucocephalon yuwonoi,Data deficient
Mauremys annamensis,Data deficient
Graptemys flavimaculata,Data deficient
Heosemys annandalii,Data deficient
Ovis orientalis,Data deficient
Parias flavomaculatus mcgregori,13
Gyps africanus,Data deficient
Gyps coprotheres,Data deficient
Aegypius monachus,32.5
Necrosyrtes monachus,Data deficient
Torgos tracheliotos,23.3
Gyps rueppellii,Data deficient
Macropus rufogriseus,5.2
Macropus parma,5.5
Macropus eugenii,6.4
Petroga/e xanthopus xanthopus,-
Macropus robustus,-
Odobenus rosmarus,Data deficient
Phacochoerus africanus,-
Kobus ellipsiprymnus,15.3
Dinemellia dinemelli,7.3
Delphinapterus leucas,Data deficient
Connochaetes taurinus,-
Chrysocyon brachyurus,12
Canis lupus baileyi,11
Canis rufus gregoryi,10.8
Gu/o gu/o,Data deficient
Phoeniculus purpureus,-
Rollulus rou/ou/,4.8
Equus grevyi,-
Equus zebra hartmannae,-
